v1,v2,,,
Not Interested,Ok cool. See ya then.,,,
Interested,Am on the uworld site. Am i buying the qbank only or am i buying it with the self assessment also?,,,
Not Interested,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,,,
Interested,Someonone you know is trying to contact you via our dating service! To find out who it could be call from your mobile or landline 09064015307 BOX334SK38ch ,,,
Interested,Yeah I can still give you a ride,,,
Not Interested,"Jay wants to work out first, how's 4 sound?",,,
More information,"Gud gud..k, chikku tke care.. sleep well gud nyt",,,
Not Interested,Its a part of checking IQ,,,
Interested,Hmm thinking lor...,,,
Not Interested,Of course ! Don't tease me ... You know I simply must see ! *grins* ... Do keep me posted my prey ... *loving smile* *devouring kiss*,,,
Interested,thanks for the temales it was wonderful. Thank. Have a great week.,,,
Not Interested,Thank you princess! I want to see your nice juicy booty...,,,
Interested,Haven't eaten all day. I'm sitting here staring at this juicy pizza and I can't eat it. These meds are ruining my life.,,,
Interested,Gud ni8 dear..slp well..take care..swt dreams..Muah..,,,
Not Interested,U come n search tat vid..not finishd..,,,
More information,"K I'm leaving soon, be there a little after 9",,,
Not Interested,Urgent! Please call 09061213237 from a landline. å£5000 cash or a 4* holiday await collection. T &Cs SAE PO Box 177 M227XY. 16+,,,
Interested,"Yeah work is fine, started last week, all the same stuff as before, dull but easy and guys are fun!",,,
Not Interested,You do your studies alone without anyones help. If you cant no need to study.,,,
Interested,Please tell me not all of my car keys are in your purse,,,
Not Interested,I didnt get anything da,,,
Interested,Ok... Sweet dreams...,,,
Interested,Well she's in for a big surprise!,,,
Not Interested,"As usual..iam fine, happy &amp; doing well..:)",,,
More information,1 in cbe. 2 in chennai.,,,
Not Interested,Can help u swoop by picking u up from wherever ur other birds r meeting if u want.,,,
Interested,If anyone calls for a treadmill say you'll buy it. Make sure its working. I found an ad on Craigslist selling for $ &lt;#&gt; .,,,
Not Interested,I absolutely LOVE South Park! I only recently started watching the office.,,,
Interested,Did you see that film:),,,
Not Interested,Pls speak with me. I wont ask anything other then you friendship.,,,
Interested,"Storming msg: Wen u lift d phne, u say \HELLO\"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? \""Margaret Hello\"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person"," bt not his girlfrnd... G o o d n i g h t . . .@""",,
Interested,Gud ni8.swt drms.take care,,,
Not Interested,HI DARLIN ITS KATE ARE U UP FOR DOIN SOMETHIN TONIGHT? IM GOING TO A PUB CALLED THE SWAN OR SOMETHING WITH MY PARENTS FOR ONE DRINK SO PHONE ME IF U CAN,,,
More information,Anything lar then Ì_ not going home 4 dinner?,,,
Not Interested,\ER," ENJOYIN INDIANS AT THE MO..yeP. SaLL gOoD HehE ;> hows bout u shexy? Pete Xx\""""",,
Interested,"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy ",,,
Not Interested,Did u fix the teeth?if not do it asap.ok take care.,,,
Interested,So u wan 2 come for our dinner tonight a not?,,,
Not Interested,"Hello.How u doing?What u been up 2?When will u b moving out of the flat, cos I will need to arrange to pick up the lamp, etc. Take care. Hello caroline!",,,
Interested,Its too late:)but its k.wish you the same.,,,
Interested,"Hi. Hope ur day * good! Back from walk, table booked for half eight. Let me know when ur coming over.",,,
Not Interested,Oh yeah clearly it's my fault,,,
More information,Dunno leh cant remember mayb lor. So wat time r we meeting tmr?,,,
Not Interested,"Best msg: It's hard to be with a person, when u know that one more step foward will make u fall in love.. &amp; One step back can ruin ur friendship.. good night:-) ...",,,
Interested,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09061790126 from land line. Claim 3030. Valid 12hrs only 150ppm,,,
Not Interested,"Helloooo... Wake up..! \Sweet\"" \""morning\"" \""welcomes\"" \""You\"" \""Enjoy\"" \""This Day\"" \""with full of joy\"".. \""GUD MRNG\"".""",,,
Interested,"Vikky, come around  &lt;TIME&gt; ..",,,
Not Interested,"And how you will do that, princess? :)",,,
Interested,I have gone into get info bt dont know what to do,,,
Interested,"Yeah, probably here for a while",,,
Not Interested,Sent me ur email id soon,,,
More information,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",,,
Not Interested,I'm still pretty weak today .. Bad day ?,,,
Interested,Hey ! Don't forget ... You are MINE ... For ME ... My possession ... MY property ... MMM ... *childish smile* ...,,,
Not Interested,An excellent thought by a misundrstud frnd: I knw u hate me bt the day wen u'll knw the truth u'll hate urself:-( Gn:-),,,
Interested,Hey! Congrats 2u2. id luv 2 but ive had 2 go home!,,,
Not Interested,Dear where you. Call me,,,
Interested,Xy trying smth now. U eat already? We havent...,,,
Interested,Urgent! Please call 09061213237 from landline. å£5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE PO Box 177. M227XY. 150ppm. 16+,,,
Not Interested,I donno its in your genes or something,,,
More information,XMAS iscoming & ur awarded either å£500 CD gift vouchers & free entry 2 r å£100 weekly draw txt MUSIC to 87066 TnC www.Ldew.com1win150ppmx3age16subscription ,,,
Not Interested,Alex says he's not ok with you not being ok with it,,,
Interested,Are u coming to the funeral home,,,
Not Interested,My darling sister. How are you doing. When's school resuming. Is there a minimum wait period before you reapply? Do take care,,,
Interested,I.ll hand her my phone to chat wit u,,,
Not Interested,Well good morning mr . Hows london treatin' ya treacle?,,,
Interested,I can't make it tonight,,,
Interested,At WHAT TIME should i come tomorrow,,,
Not Interested,About  &lt;#&gt; bucks. The banks fees are fixed. Better to call the bank and find out.,,,
More information,"I can. But it will tell quite long, cos i haven't finish my film yet...",,,
Not Interested,Pls ask macho how much is budget for bb bold 2 is cos i saw a new one for  &lt;#&gt;  dollars.,,,
Interested,"\Hi missed your Call and my mumHas beendropping red wine all over theplace! what is your adress?\""""",,,
Not Interested,Ill be at yours in about 3 mins but look out for me,,,
Interested,What you did in  leave.,,,
Not Interested,I'm coming back on Thursday. Yay. Is it gonna be ok to get the money. Cheers. Oh yeah and how are you. Everything alright. Hows school. Or do you call it work now,,,
Interested,"Jolly good! By the way,  will give u tickets for sat eve 7.30. Speak before then x",,,
Interested,"yeah, that's what I was thinking",,,
Not Interested,K.k:)i'm going to tirunelvali this week to see my uncle ..i already spend the amount by taking dress .so only i want money.i will give it on feb 1,,,
More information,Here got ur favorite oyster... N got my favorite sashimi... Ok lar i dun say already... Wait ur stomach start rumbling...,,,
Not Interested,My sister going to earn more than me da.,,,
Interested,Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX å£1.50,,,
Not Interested,Hahaha..use your brain dear,,,
Interested,Jus finish watching tv... U?,,,
Not Interested,"K, fyi I'm back in my parents' place in south tampa so I might need to do the deal somewhere else",,,
Interested,"Good morning, my Love ... I go to sleep now and wish you a great day full of feeling better and opportunity ... You are my last thought babe, I LOVE YOU *kiss*",,,
Interested,Kothi print out marandratha.,,,
Not Interested,But we havent got da topic yet rite?,,,
More information,Ok no problem... Yup i'm going to sch at 4 if i rem correctly...,,,
Not Interested,"Thanks, I'll keep that in mind",,,
Interested,Aah bless! How's your arm?,,,
Not Interested,"Dear Sir,Salam Alaikkum.Pride and Pleasure meeting you today at the Tea Shop.We are pleased to send you our contact number at Qatar.Rakhesh an Indian.Pls save our Number.Respectful Regards.",,,
Interested,"Gal n boy walking in d park. gal-can i hold ur hand? boy-y? do u think i would run away? gal-no, jst wana c how it feels walking in heaven with an prince..GN:-)",,,
Not Interested,What makes you most happy?,,,
Interested,Wishing you a wonderful week.,,,
Interested,Sweet heart how are you?,,,
Not Interested,"Sir, waiting for your letter.",,,
More information,Dude im no longer a pisces. Im an aquarius now.,,,
Not Interested,X course it 2yrs. Just so her messages on messenger lik you r sending me,,,
Interested,I think steyn surely get one wicket:),,,
Not Interested,"Neither [in sterm voice] - i'm studying. All fine with me! Not sure the  thing will be resolved, tho. Anyway. Have a fab hols",,,
Interested,"Garbage bags, eggs, jam, bread, hannaford wheat chex",,,
Not Interested,No. It's not pride. I'm almost  &lt;#&gt;  years old and shouldn't be takin money from my kid. You're not supposed to have to deal with this stuff. This is grownup stuff--why i don't tell you.,,,
Interested,Sounds better than my evening im just doing my costume. Im not sure what time i finish tomorrow but i will txt you at the end.,,,
Interested,My birthday is on feb  &lt;#&gt;  da. .,,,
Not Interested,So when do you wanna gym?,,,
More information,You'd like that wouldn't you? Jerk!,,,
Not Interested,Are u awake? Is there snow there?,,,
Interested,And of course you should make a stink!,,,
Not Interested,"u r subscribed 2 TEXTCOMP 250 wkly comp. 1st wk?s free question follows, subsequent wks charged@150p/msg.2 unsubscribe txt STOP 2 84128,custcare 08712405020",,,
Interested,No go. No openings for that room 'til after thanksgiving without an upcharge.,,,
Not Interested,When you guys planning on coming over?,,,
Interested,Wat Ì_ doing now?,,,
Interested,"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",,,
Not Interested,No sir. That's why i had an 8-hr trip on the bus last week. Have another audition next wednesday but i think i might drive this time.,,,
More information,Do I? I thought I put it back in the box,,,
Not Interested,I'm home...,,,
Interested,No one interested. May be some business plan.,,,
Not Interested,Yup it's at paragon... I havent decided whether 2 cut yet... Hee...,,,
Interested,Good morning princess! Have a great day!,,,
Not Interested,Guai... ÌÏ shd haf seen him when he's naughty... ÌÏ so free today? Can go jogging...,,,
Interested,Aiyo cos i sms Ì_ then Ì_ neva reply so i wait 4 Ì_ to reply lar. I tot Ì_ havent finish ur lab wat.,,,
Interested,"Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, Being 'SIMPLE' is very difficult...;-) :-)",,,
Not Interested,Tell me something. Thats okay.,,,
More information,Ok,,,
Not Interested,Hmm. Shall i bring a bottle of wine to keep us amused? Just joking! I'll still bring a bottle. Red or white? See you tomorrow,,,
Interested,This is ur face test ( 1 2 3 4 5 6 7 8 9  &lt;#&gt;  ) select any number i will tell ur face astrology.... am waiting. quick reply...,,,
Not Interested,"Hey, iouri gave me your number, I'm wylie, ryan's friend",,,
Interested,Yep get with the program. You're slacking.,,,
Not Interested,I'm in inside office..still filling forms.don know when they leave me.,,,
